Year,Unemployment Rate: Monthly: Thailand,Consumer Price Index: YoY: Monthly: Thailand,Equity Market Index: Month End: SET,Equity Market Index :GAP,CPI: TC: Communication and Equipments,inflaton rate total ,Expect inflation ARIMA
4/1/2014,0.009,2.45500884,1414.94,-84.8964,100.2,0.05,0.0035916
5/1/2014,0.0094,2.61492166,1415.73,-84.9438,100.2,0.04,0.014668471
6/1/2014,0.0115,2.35208787,1485.75,-89.145,100.2,-0.01,0.019688906
7/1/2014,0.0097,2.16333713,1502.39,-90.1434,100.19,-0.008,0.022836362
8/1/2014,0.0074,2.09109731,1561.63,-93.6978,100.18,-0.008,0.006697381
9/1/2014,0.008,1.7465895,1585.67,-95.1402,100.18,-0.017,0.010751256
10/1/2014,0.0075,1.47544366,1584.16,-95.0496,100.18,-0.01,0.022783795
11/1/2014,0.0055,1.25747269,1593.91,-95.6346,100.18,-0.012,0.007069561
12/1/2014,0.0056,0.59695348,1497.67,-89.8602,100.18,-0.05,0.003399614
1/1/2015,0.0106,-0.399754,1581.25,-94.875,100.18,-0.059,0.019673347
2/1/2015,0.0082,-0.53169734,1587.01,-95.2206,100.18,0.012,-0.012735109
3/1/2015,0.0099,-0.56122449,1505.94,-90.3564,100.17,0.017,0.033849273
4/1/2015,0.0085,-1.03563814,1526.74,-91.6044,100.17,0.002,0.010241502
5/1/2015,0.0093,-1.27414299,1496.05,-89.763,100.16,0.017,0.029824573
6/1/2015,0.0083,-1.06296821,1504.55,-90.273,100.16,0.01,-0.000447621
7/1/2015,0.01,-1.05369807,1440.12,-86.4072,100.16,-0.007,-0.010668485
8/1/2015,0.0097,-1.18637193,1382.41,-82.9446,100.16,-0.023,0.10412296
9/1/2015,0.0078,-1.06653123,1349,-80.94,100.16,-0.005,0.127677769
10/1/2015,0.0085,-0.77275038,1394.94,-83.6964,100.15,0.02,-0.047684631
11/1/2015,0.009,-0.9771987,1359.7,-81.582,100.15,-0.032,-0.182010392
12/1/2015,0.0065,-0.85942296,1288.02,-77.2812,100.15,-0.039,0.187638548
1/1/2016,0.0091,-0.53514459,1300.98,-78.0588,100.15,-0.026,0.184207616
2/1/2016,0.0087,-0.50370066,1332.37,-79.9422,100.15,0.015,-0.049299083
3/1/2016,0.0104,-0.46177527,1407.7,-84.462,100.14,0.021,-0.248901587
4/1/2016,0.0104,0.0615574,1404.61,-84.2766,100.14,0.055,-0.152605639
5/1/2016,0.012,0.4609239,1424.28,-85.4568,100.14,0.056,-0.19072377
6/1/2016,0.0101,0.38882636,1444.99,-86.6994,100.13,0.003,-0.104935394
7/1/2016,0.0101,0.11263567,1524.07,-91.4442,100.13,-0.035,0.263484453
8/1/2016,0.0093,0.28732683,1548.44,-92.9064,100.13,-0.004,0.343079316
9/1/2016,0.0087,0.3798768,1483.21,-88.9926,100.13,0.004,-0.048646595
10/1/2016,0.0119,0.3381494,1495.72,-89.7432,100.13,0.016,-0.133519782
11/1/2016,0.0099,0.60649671,1510.24,-90.6144,100.11,-0.006,-0.086043545
12/1/2016,0.008,1.124871,1542.94,-92.5764,100.11,0.013,0.073341933
1/1/2017,0.0118,1.55199172,1577.31,-94.6386,100.11,0.016,-0.034032434
2/1/2017,0.0112,1.44643042,1559.56,-93.5736,100.1,0.004,-0.072657193
3/1/2017,0.0129,0.7628866,1575.11,-94.5066,100.1,-0.046,0.049441409
4/1/2017,0.0125,0.37937045,1566.32,-93.9792,100.1,0.016,0.283393469
5/1/2017,0.0132,-0.04078303,1561.66,-93.6996,100.1,0.015,-0.169702265
6/1/2017,0.0107,-0.0509632,1574.74,-94.4844,100.1,0.002,-0.17838434
7/1/2017,0.0124,0.16364938,1576.08,-94.5648,100.1,-0.013,0.066154254
8/1/2017,0.0112,0.31720045,1616.16,-96.9696,100.09,0.011,0.110793445
9/1/2017,0.0117,0.85915925,1673.16,-100.3896,100.1,0.058,-0.079715938
10/1/2017,0.0129,0.85784314,1721.37,-103.2822,100.09,0.016,-0.308224439
11/1/2017,0.0114,0.98089302,1697.39,-101.8434,100.09,0.007,0.072720899
